# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
16.188        -2.352        -2.024    1.848    95.2    6.016    2.447    0.390    1    7    548
18.169        -2.812        -2.484    1.256    14.5    0.913    1.931    0.240    1    7    563
17.422        -2.656        -2.328    1.597    51.0    3.220    2.926    0.303    1    7    592
17.345        -2.639        -2.311    -0.327    0.6    0.040    1.632    0.365    0    7    648
17.936        -2.765        -2.437    1.381    30.7    1.941    1.431    0.336    1    7    649
14.513        -1.692        -1.365    1.322    36.0    2.272    0.532    0.728    1    7    655
16.990        -2.557        -2.229    1.365    35.1    2.219    2.614    0.539    1    7    714
18.089        -2.796        -2.468    1.443    38.8    2.451    0.776    0.417    1    7    715
18.446        -2.866        -2.538    1.283    24.2    1.527    1.866    0.277    1    7    754
18.774        -2.928        -2.600    1.703    54.5    3.443    2.026    0.122    1    7    781
18.672        -2.909        -2.581    1.105    11.3    0.717    1.757    0.037    1    7    790
18.388        -2.855        -2.527    1.815    117.3    7.409    1.886    0.812    1    7    821
17.816        -2.740        -2.412    1.345    32.6    2.061    1.213    0.495    1    7    822
17.390        -2.649        -2.321    0.932    8.0    0.503    1.479    0.394    1    7    825
17.806        -2.738        -2.410    1.355    33.3    2.105    0.658    0.500    1    7    845
18.276        -2.833        -2.505    1.207    21.4    1.352    1.096    0.362    1    7    854
17.033        -2.567        -2.239    0.785    8.8    0.557    1.628    0.459    1    7    863
16.931        -2.543        -2.215    1.898    85.5    5.399    0.470    0.177    1    7    863
18.764        -2.926        -2.598    1.595    68.6    4.334    2.092    0.808    1    7    868
14.986        -1.942        -1.614    1.872    101.2    6.390    2.286    0.477    1    7    872
18.309        -2.839        -2.511    1.913    126.4    7.987    2.123    0.558    1    7    886
16.631        -2.469        -2.141    1.220    25.4    1.602    0.929    0.562    1    7    886
18.415        -2.860        -2.532    1.785    86.1    5.440    0.955    0.434    1    7    924
18.791        -2.931        -2.603    1.623    47.1    2.978    1.578    0.154    1    7    935
16.652        -2.475        -2.147    1.537    57.9    3.661    0.911    0.737    1    7    938
18.982        -2.966        -2.638    1.371    11.5    0.725    1.416    0.427    1    7    946
18.605        -2.896        -2.568    1.533    41.4    2.618    1.737    0.231    1    7    951
18.841        -2.940        -2.612    1.034    14.2    0.896    0.256    0.346    1    7    981
15.600        -2.174        -1.846    1.761    78.9    4.987    1.553    0.384    1    7    1000
18.503        -2.877        -2.549    1.464    33.7    2.130    1.326    0.267    1    7    1010
